USPS,GEOID,GEOIDFQ,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
WI,55001,0500000US55001,1581060,Adams County,1672216222,108348983,645.646,41.834,43.973757,-89.767228
WI,55003,0500000US55003,1581061,Ashland County,2706458785,3230728302,1044.97,1247.391,46.544424,-90.679691
WI,55005,0500000US55005,1581062,Barron County,2235375003,69100902,863.083,26.68,45.437192,-91.852892
WI,55007,0500000US55007,1581063,Bayfield County,3827695962,1460282026,1477.882,563.818,46.634199,-91.177282
WI,55009,0500000US55009,1581064,Brown County,1372941329,221800795,530.096,85.638,44.474024,-87.99613
WI,55011,0500000US55011,1581065,Buffalo County,1750291803,87548524,675.791,33.803,44.385633,-91.761294
WI,55013,0500000US55013,1581066,Burnett County,2127924507,151846472,821.596,58.628,45.866897,-92.37573
WI,55015,0500000US55015,1581067,Calumet County,824263567,204161559,318.25,78.827,44.07841,-88.212132
WI,55017,0500000US55017,1581068,Chippewa County,2611822002,85039796,1008.43,32.834,45.069092,-91.283505
WI,55019,0500000US55019,1581069,Clark County,3133102384,23238614,1209.698,8.972,44.739166,-90.609909
WI,55021,0500000US55021,1581070,Columbia County,1982894137,78697071,765.6,30.385,43.471882,-89.330472
WI,55023,0500000US55023,1581071,Crawford County,1478377402,73569358,570.805,28.405,43.242768,-90.935185
WI,55025,0500000US55025,1581072,Dane County,3098910440,106205817,1196.496,41.006,43.067468,-89.417852
WI,55027,0500000US55027,1581073,Dodge County,2268049932,81331199,875.699,31.402,43.429628,-88.701939
WI,55029,0500000US55029,1581074,Door County,1248209717,4890672315,481.936,1888.299,45.093417,-87.048683
WI,55031,0500000US55031,1581075,Douglas County,3378048642,454293036,1304.272,175.404,46.463218,-91.892477
WI,55033,0500000US55033,1581076,Dunn County,2201904315,35571132,850.16,13.734,44.947751,-91.897645
WI,55035,0500000US55035,1581077,Eau Claire County,1652211244,18848551,637.922,7.277,44.726355,-91.286414
WI,55037,0500000US55037,1581078,Florence County,1263988287,24099863,488.029,9.305,45.871828,-88.406988
WI,55039,0500000US55039,1581079,Fond du Lac County,1863667253,119853822,719.566,46.276,43.754722,-88.493284
WI,55041,0500000US55041,1581080,Forest County,2626935115,83517439,1014.265,32.246,45.666881,-88.773326
WI,55043,0500000US55043,1581081,Grant County,2972281812,92642049,1147.604,35.769,42.870028,-90.694229
WI,55045,0500000US55045,1581082,Green County,1512667179,1313241,584.044,0.507,42.675522,-89.605074
WI,55047,0500000US55047,1581083,Green Lake County,905306441,79210988,349.541,30.584,43.780247,-88.97038
WI,55049,0500000US55049,1581084,Iowa County,1975379613,13870580,762.698,5.355,43.001021,-90.133691
WI,55051,0500000US55051,1581085,Iron County,1963763896,416859798,758.214,160.95,46.32655,-90.261298
WI,55053,0500000US55053,1581086,Jackson County,2558687749,32538319,987.915,12.563,44.32459,-90.79951
WI,55055,0500000US55055,1581087,Jefferson County,1441311671,67982467,556.494,26.248,43.013804,-88.773985
WI,55057,0500000US55057,1581088,Juneau County,1986729540,98638538,767.081,38.085,43.932836,-90.113984
WI,55059,0500000US55059,1581089,Kenosha County,704044386,1248872159,271.833,482.192,42.587526,-87.879996
WI,55061,0500000US55061,1581090,Kewaunee County,886948865,1921339190,342.453,741.833,44.605677,-87.448008
WI,55063,0500000US55063,1581091,La Crosse County,1170172399,73153072,451.806,28.245,43.908222,-91.111758
WI,55065,0500000US55065,1581092,Lafayette County,1640985417,2539010,633.588,0.98,42.655578,-90.130292
