County,Year,Month,solar_radiation,humidity,wind_speed,wind_speed_max
adams,1984,4,16.85,75.8,4.4,12.36
adams,1984,5,17.63,74.25,3.26,9.64
adams,1984,6,20.75,78.96,3.42,9.15
adams,1984,7,21.9,74.48,2.68,8.19
adams,1984,8,18.52,68.76,2.31,6.4
adams,1984,9,14.55,67.93,3.05,7.57
adams,1985,4,18.08,80.42,3.71,8.69
adams,1985,5,22.03,72.46,3.52,10.48
adams,1985,6,22.34,69.84,3.04,8.39
adams,1985,7,21.32,64.71,2.73,7.54
adams,1985,8,17.55,68.18,2.8,6.69
adams,1985,9,11.84,76.44,2.99,7.43
adams,1986,4,16.43,78.32,4.22,10.83
adams,1986,5,18.98,75.69,3.15,9.03
adams,1986,6,19.98,75.27,3.17,7.48
adams,1986,7,20.17,77.54,2.67,7.35
adams,1986,8,18.68,71.43,2.73,6.46
adams,1986,9,11.1,80.57,2.93,6.74
adams,1987,4,17.82,72.59,3.38,8.95
adams,1987,5,19.96,73.44,3.26,7.07
adams,1987,6,23.03,67.65,2.8,7.31
adams,1987,7,20.66,74.09,2.53,6.85
adams,1987,8,16.65,71.37,2.88,6.19
adams,1987,9,13.82,72.06,2.6,6.46
adams,1988,4,17.21,68.6,3.6,9.76
adams,1988,5,23.88,61.54,3.21,8.66
adams,1988,6,24.65,48.8,3.1,7.05
adams,1988,7,23.07,49.68,2.54,6.4
adams,1988,8,19.18,55.95,3.24,7.75
adams,1988,9,13.99,64.13,3.31,9.64
adams,1989,4,17.16,68.49,3.67,9.07
adams,1989,5,19.98,68.93,2.95,9.17
adams,1989,6,21.74,69.15,2.61,5.44
adams,1989,7,21.33,64.06,2.33,6.0
adams,1989,8,18.72,63.8,2.63,6.35
adams,1989,9,15.69,63.06,2.72,9.57
adams,1990,4,17.89,71.15,3.89,8.37
adams,1990,5,18.2,71.87,3.27,11.11
adams,1990,6,20.39,79.72,3.54,11.43
adams,1990,7,21.01,72.59,2.81,7.29
adams,1990,8,19.0,77.49,2.58,5.91
adams,1990,9,14.61,74.02,2.88,7.74
adams,1991,4,15.81,74.88,3.88,10.35
adams,1991,5,16.35,81.41,3.14,8.45
adams,1991,6,23.36,71.98,2.77,7.37
adams,1991,7,22.07,69.59,2.57,6.17
adams,1991,8,18.69,67.62,2.71,6.36
adams,1991,9,13.85,68.03,3.27,8.55
adams,1992,4,13.25,81.14,3.55,8.02
adams,1992,5,22.44,71.26,2.86,9.32
adams,1992,6,21.17,68.09,2.34,7.33
adams,1992,7,18.34,72.95,2.53,6.77
