Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Adams,-89.7672,43.9738,991,2010-01,1.12,5.6,14.8,24.0,10.4,0.15,1.51
Adams,-89.7672,43.9738,991,2010-02,0.77,9.3,20.0,30.8,13.8,0.22,2.86
Adams,-89.7672,43.9738,991,2010-03,0.63,24.2,37.3,50.4,25.5,0.38,8.25
Adams,-89.7672,43.9738,991,2010-04,2.52,36.9,50.5,64.1,34.4,1.15,14.76
Adams,-89.7672,43.9738,991,2010-05,4.65,46.7,58.9,71.1,45.7,0.74,17.77
Adams,-89.7672,43.9738,991,2010-06,7.96,57.1,67.0,77.0,58.4,0.65,15.14
Adams,-89.7672,43.9738,991,2010-07,9.29,63.1,72.9,82.6,63.3,1.03,18.63
Adams,-89.7672,43.9738,991,2010-08,3.63,61.4,72.4,83.5,63.3,0.71,19.82
Adams,-89.7672,43.9738,991,2010-09,5.50,47.3,58.2,69.0,51.2,0.40,11.16
Adams,-89.7672,43.9738,991,2010-10,1.50,35.8,50.1,64.4,38.3,0.30,13.36
Adams,-89.7672,43.9738,991,2010-11,1.38,26.5,36.1,45.7,27.9,0.48,5.43
Adams,-89.7672,43.9738,991,2010-12,1.85,8.0,16.8,25.5,12.9,0.17,1.46
Adams,-89.7672,43.9738,991,2011-01,0.92,3.8,12.6,21.4,8.5,0.18,1.43
Adams,-89.7672,43.9738,991,2011-02,1.73,8.2,18.6,29.0,13.2,0.26,2.48
Adams,-89.7672,43.9738,991,2011-03,2.90,18.5,28.7,38.9,19.9,0.34,4.32
Adams,-89.7672,43.9738,991,2011-04,3.80,33.2,42.3,51.4,32.5,0.52,7.27
Adams,-89.7672,43.9738,991,2011-05,2.36,44.5,55.1,65.8,43.2,0.97,12.59
Adams,-89.7672,43.9738,991,2011-06,3.32,55.4,66.0,76.6,55.0,1.57,17.64
Adams,-89.7672,43.9738,991,2011-07,3.53,63.6,75.0,86.4,64.0,1.69,23.29
Adams,-89.7672,43.9738,991,2011-08,1.17,56.9,69.7,82.4,59.5,0.60,21.55
Adams,-89.7672,43.9738,991,2011-09,4.50,46.5,57.9,69.3,49.7,0.45,12.85
Adams,-89.7672,43.9738,991,2011-10,1.37,37.6,50.2,62.8,39.0,0.64,12.68
Adams,-89.7672,43.9738,991,2011-11,2.50,28.6,37.5,46.3,29.8,0.53,5.03
Adams,-89.7672,43.9738,991,2011-12,1.20,17.7,26.6,35.5,21.2,0.23,2.89
Adams,-89.7672,43.9738,991,2012-01,1.00,11.2,21.4,31.6,15.3,0.24,2.89
Adams,-89.7672,43.9738,991,2012-02,1.01,17.6,27.2,36.8,18.9,0.32,3.78
Adams,-89.7672,43.9738,991,2012-03,2.44,37.0,47.7,58.5,37.0,0.95,10.82
Adams,-89.7672,43.9738,991,2012-04,3.51,33.3,45.7,58.1,31.5,0.67,10.95
Adams,-89.7672,43.9738,991,2012-05,7.33,48.5,61.4,74.3,46.7,1.57,19.30
Adams,-89.7672,43.9738,991,2012-06,2.44,55.2,68.3,81.4,53.2,1.69,24.34
Adams,-89.7672,43.9738,991,2012-07,0.75,63.3,76.7,90.2,62.0,1.62,32.04
Adams,-89.7672,43.9738,991,2012-08,3.61,54.7,68.1,81.5,55.7,0.76,23.23
Adams,-89.7672,43.9738,991,2012-09,0.90,43.4,57.9,72.5,45.4,0.54,18.02
Adams,-89.7672,43.9738,991,2012-10,5.49,34.0,45.3,56.7,36.2,0.41,8.10
Adams,-89.7672,43.9738,991,2012-11,1.25,24.3,34.6,44.9,26.6,0.38,5.26
Adams,-89.7672,43.9738,991,2012-12,1.92,18.0,25.6,33.3,21.3,0.22,2.21
Adams,-89.7672,43.9738,991,2013-01,1.74,5.9,16.7,27.5,11.4,0.19,2.07
Adams,-89.7672,43.9738,991,2013-02,1.35,5.9,16.2,26.5,11.9,0.17,1.94
