County,bdod,cec,clay,nitrogen,phh2o,sand,silt,soc
adams,132,163,192,698,60,489,319,375
ashland,115,249,258,601,51,216,526,605
barron,133,150,185,516,55,317,498,677
bayfield,111,266,187,545,50,480,333,668
brown,134,289,308,781,66,328,364,429
buffalo,122,189,210,613,58,206,583,547
burnett,127,199,161,753,51,659,180,548
calumet,134,210,272,1105,65,240,489,435
chippewa,133,235,196,623,58,470,334,467
clark,133,238,180,625,56,268,552,564
columbia,133,182,260,1119,61,212,528,451
crawford,130,216,255,974,62,144,601,629
dane,122,272,350,1133,58,172,478,700
dodge,135,231,264,1463,64,133,603,411
door,125,276,209,967,55,539,252,688
douglas,111,253,119,545,51,452,429,570
dunn,121,229,200,616,58,377,423,705
eau claire,132,198,194,654,57,403,403,465
florence,108,188,89,546,51,431,480,513
fond du lac,139,218,359,865,65,181,459,344
forest,112,152,83,735,51,464,453,448
grant,135,211,247,559,64,90,663,441
green,137,213,288,775,66,98,614,409
green lake,133,174,289,1244,60,192,518,437
iowa,131,210,308,974,62,119,573,517
iron,110,223,147,725,48,429,425,672
jackson,132,138,130,660,49,698,172,463
jefferson,140,244,319,1483,61,141,541,452
juneau,135,174,245,671,59,393,362,472
kenosha,139,259,334,1240,67,145,522,522
kewaunee,132,293,193,780,64,441,366,621
la crosse,134,191,223,434,64,126,651,428
lafayette,132,235,284,817,65,69,647,393
langlade,104,306,126,892,51,390,484,865
lincoln,113,204,123,788,50,415,462,741
manitowoc,133,270,327,865,62,407,266,642
marathon,120,195,141,515,55,315,544,452
marinette,116,193,84,856,55,594,322,540
marquette,126,158,280,1126,55,371,349,512
menominee,119,166,97,900,51,590,314,546
milwaukee,142,286,308,690,67,215,477,464
monroe,128,148,172,700,56,301,527,453
oconto,130,181,87,686,66,525,388,463
oneida,116,174,102,517,49,592,306,480
outagamie,131,207,254,1264,65,338,408,478
ozaukee,129,230,253,906,60,249,499,621
pepin,127,218,212,593,58,213,575,740
pierce,135,249,185,509,60,258,557,467
polk,119,239,166,628,56,364,470,662
portage,123,221,167,637,55,544,289,431
price,121,168,144,497,53,424,432,653
racine,136,233,300,858,65,315,384,516
richland,133,178,198,765,64,228,574,427
rock,135,223,356,1242,64,135,509,390
rusk,121,182,108,587,51,391,501,558
st croix,133,239,174,578,60,356,471,482
sauk,131,185,240,746,61,146,613,438
sawyer,111,195,104,688,50,487,408,524
shawano,126,165,116,993,54,560,324,507
sheboygan,135,235,282,719,67,324,394,396
taylor,115,212,153,543,50,236,611,603
trempealeau,136,200,210,602,58,318,472,539
vernon,129,210,247,479,62,167,587,427
vilas,109,205,125,556,49,442,433,576
walworth,139,221,229,1449,63,195,576,422
washburn,120,214,116,538,52,481,403,594
washington,126,215,292,1255,59,242,466,653
waukesha,136,189,277,912,64,153,570,374
waupaca,132,169,236,1029,60,411,353,468
waushara,132,187,158,918,60,555,287,494
winnebago,128,225,385,876,63,184,430,527
wood,133,208,242,586,57,321,437,443
