County,Year,Month,solar_radiation,humidity,wind_speed,wind_speed_max,precip,temp_min,temp_mean,temp_max,dewpoint_mean,vpd_min,vpd_max
adams,1984,4,16.85,75.8,4.4,12.36,3.83,35.5,46.5,57.5,29.7,1.57,10.85
adams,1984,5,17.63,74.25,3.26,9.64,2.27,41.4,53.7,65.9,40.2,1.12,13.4
adams,1984,6,20.75,78.96,3.42,9.15,5.96,56.2,68.1,80.0,57.0,1.2,18.43
adams,1984,7,21.9,74.48,2.68,8.19,3.29,56.9,69.4,81.9,58.0,1.08,20.9
adams,1984,8,18.52,68.76,2.31,6.4,2.54,58.5,70.9,83.2,60.5,0.85,20.17
adams,1984,9,14.55,67.93,3.05,7.57,4.74,45.9,58.3,70.7,48.4,0.55,14.09
adams,1985,4,18.08,80.42,3.71,8.69,2.13,37.9,49.8,61.8,35.5,1.49,12.93
adams,1985,5,22.03,72.46,3.52,10.48,2.64,47.3,60.9,74.4,45.7,1.66,18.85
adams,1985,6,22.34,69.84,3.04,8.39,3.35,50.0,63.1,76.2,49.5,1.29,19.1
adams,1985,7,21.32,64.71,2.73,7.54,3.98,56.5,70.1,83.8,58.0,1.03,23.28
adams,1985,8,17.55,68.18,2.8,6.69,4.49,53.3,65.2,77.2,57.1,0.16,15.93
adams,1985,9,11.84,76.44,2.99,7.43,5.99,49.5,60.1,70.7,53.7,0.19,11.01
adams,1986,4,16.43,78.32,4.22,10.83,2.26,37.3,49.7,62.0,34.3,1.37,12.86
adams,1986,5,18.98,75.69,3.15,9.03,1.83,46.8,59.0,71.2,47.0,1.0,14.99
adams,1986,6,19.98,75.27,3.17,7.48,4.92,53.6,66.4,79.1,54.8,1.12,18.81
adams,1986,7,20.17,77.54,2.67,7.35,5.03,60.6,71.5,82.3,62.6,0.75,18.2
adams,1986,8,18.68,71.43,2.73,6.46,2.34,52.0,64.3,76.6,55.4,0.26,16.02
adams,1986,9,11.1,80.57,2.93,6.74,9.63,50.0,59.8,69.6,54.1,0.0,10.28
adams,1987,4,17.82,72.59,3.38,8.95,3.24,35.9,49.4,62.8,32.9,1.2,14.08
adams,1987,5,19.96,73.44,3.26,7.07,2.8,46.8,59.8,72.7,46.4,1.0,16.53
adams,1987,6,23.03,67.65,2.8,7.31,4.01,55.6,69.1,82.6,57.1,0.69,22.57
adams,1987,7,20.66,74.09,2.53,6.85,4.2,61.9,73.3,84.8,63.4,0.86,20.73
adams,1987,8,16.65,71.37,2.88,6.19,2.53,56.4,67.5,78.7,60.5,0.03,15.4
adams,1987,9,13.82,72.06,2.6,6.46,2.95,48.0,60.5,73.0,52.6,0.02,14.2
adams,1988,4,17.21,68.6,3.6,9.76,1.98,31.7,45.3,58.8,28.3,0.98,11.98
adams,1988,5,23.88,61.54,3.21,8.66,0.78,45.6,61.3,76.9,42.4,1.92,22.59
adams,1988,6,24.65,48.8,3.1,7.05,1.28,54.6,70.5,86.4,51.3,2.78,30.75
adams,1988,7,23.07,49.68,2.54,6.4,3.6,58.6,73.0,87.5,58.3,1.27,29.29
adams,1988,8,19.18,55.95,3.24,7.75,3.87,60.6,72.9,85.1,60.9,1.23,24.27
adams,1988,9,13.99,64.13,3.31,9.64,5.4,48.2,61.0,73.8,50.8,0.53,15.66
adams,1989,4,17.16,68.49,3.67,9.07,0.77,30.5,42.7,54.8,28.1,0.89,9.65
adams,1989,5,19.98,68.93,2.95,9.17,5.79,42.4,55.5,68.5,41.0,1.02,15.86
adams,1989,6,21.74,69.15,2.61,5.44,1.97,52.3,64.5,76.6,53.8,0.83,17.58
adams,1989,7,21.33,64.06,2.33,6.0,3.18,58.6,71.5,84.3,59.9,1.09,23.26
adams,1989,8,18.72,63.8,2.63,6.35,2.75,56.1,68.2,80.4,58.7,0.52,18.56
adams,1989,9,15.69,63.06,2.72,9.57,1.62,44.7,58.1,71.6,48.3,0.33,14.31
adams,1990,4,17.89,71.15,3.89,8.37,2.33,35.5,47.7,59.8,33.2,1.16,11.84
adams,1990,5,18.2,71.87,3.27,11.11,4.58,41.2,53.0,64.9,40.8,0.95,12.5
adams,1990,6,20.39,79.72,3.54,11.43,6.99,55.0,66.4,77.8,55.7,0.77,17.05
adams,1990,7,21.01,72.59,2.81,7.29,2.82,58.5,69.7,80.9,59.1,1.31,19.0
adams,1990,8,19.0,77.49,2.58,5.91,5.95,56.7,67.8,78.9,59.7,0.22,15.74
adams,1990,9,14.61,74.02,2.88,7.74,2.29,51.3,62.3,73.2,53.7,0.55,13.89
adams,1991,4,15.81,74.88,3.88,10.35,4.6,36.6,48.4,60.2,35.1,0.86,11.37
adams,1991,5,16.35,81.41,3.14,8.45,4.06,50.8,61.2,71.6,51.8,0.58,13.58
adams,1991,6,23.36,71.98,2.77,7.37,1.93,57.9,70.0,82.0,58.4,1.15,20.3
adams,1991,7,22.07,69.59,2.57,6.17,4.9,57.5,69.4,81.2,59.6,0.3,19.11
adams,1991,8,18.69,67.62,2.71,6.36,2.07,56.5,68.7,81.0,59.6,0.28,19.12
adams,1991,9,13.85,68.03,3.27,8.55,3.53,46.5,57.6,68.7,49.3,0.36,11.92
adams,1992,4,13.25,81.14,3.55,8.02,2.9,32.8,41.6,50.5,31.8,0.66,6.38
adams,1992,5,22.44,71.26,2.86,9.32,2.23,44.5,58.0,71.4,40.9,1.72,18.28
adams,1992,6,21.17,68.09,2.34,7.33,1.32,50.5,63.3,76.0,49.7,1.2,19.21
adams,1992,7,18.34,72.95,2.53,6.77,3.76,54.0,64.9,75.9,55.5,0.72,15.65
adams,1992,8,19.05,66.05,2.52,8.37,2.01,51.5,64.2,76.9,54.0,0.72,18.03
adams,1992,9,13.1,75.06,3.1,7.7,9.11,47.0,57.5,68.0,50.2,0.57,10.29
adams,1993,4,15.0,80.37,3.73,10.15,5.17,30.4,40.7,51.1,29.6,0.72,7.62
adams,1993,5,17.0,81.45,3.15,7.6,4.98,46.1,57.0,67.8,45.4,0.94,12.89
adams,1993,6,19.62,82.7,3.11,7.81,6.96,52.6,63.1,73.6,53.7,0.75,14.43
adams,1993,7,18.61,85.68,2.89,7.49,7.03,59.1,68.9,78.6,60.6,0.52,14.97
adams,1993,8,17.67,83.8,2.3,6.31,4.53,59.5,69.4,79.2,61.1,0.81,15.55
adams,1993,9,12.03,82.3,2.97,8.62,2.78,43.6,53.7,63.8,46.7,0.64,9.47
adams,1994,4,17.1,75.58,4.03,10.51,4.66,33.3,45.4,57.4,28.8,1.39,11.63
adams,1994,5,23.71,72.51,2.91,8.87,1.54,44.1,57.4,70.7,41.3,1.57,17.81
adams,1994,6,23.73,73.96,2.67,9.91,4.1,55.9,68.3,80.7,55.8,1.25,20.75
adams,1994,7,20.25,78.88,2.69,6.68,5.81,58.0,68.3,78.7,58.9,1.25,16.01
